Address,mint_cSTONE
0x82dcb90d55b15b82d65ace372cfd3eec7d3ddd07,T
0x5d60423bf72a44ca67bfbd32a67be541c0bc75f2,F
0x7682aef518cbeb24ab618643b834fec5a8fa9965,T
0x10c72f66b9b1fb7331f81e35867f245727e6a638,T
0xbde56f20825433dd9f9c15a598e122a8177dfc23,T
0xd323cabb88995a8f986ee758487b68876855ab37,T
0x56c710a5ecacc05dae1c0c04c2457d6b246619b2,T
0xb70f570c2845e9d392ca62dfd1ef496d7763b858,T
0x2f26c1d10456b6256460517ae912b5785e395794,T
0x4e54c6ddb5c8889495ff8d9acb1585f476fbc20c,T
0xcd99565e49176c1c7ab802044bd8fc2a2890887a,T
0x01d5e387ccf1b838f93b9e5bbfc10fcfd15ba723,T
0x4fe54fe4c4e70649ddd22768f2ee449d9c0b6be3,T
0x20d4efb06c796316552b55cb3b1967a66c1922f8,T
0xac21096764aa81a3e4c7a5290d271238f0a79cd9,T
0x21eb4f868665a84babab022022d2cd3920a41dfa,F
0x241265aea27980ff55a3ccdb1c9e3171d450a4c5,T
0x0d35971e1c650291b0327148fdfd60c6f65c1376,T
0x51bd821bb01ddf5db5cb3707ffa544826898f109,T
0xf2dcca337b825a76fd404cd99b0329670eb810f3,F
0x9e31d2e1603bfb0b884185456bc8e06568bc5490,F
0xbf2f9e7ddf225ce939feb72b492b1f017a6ced6f,T
0xe5a82a53f0d2d46eceb2accd66b3c4d368296517,T
0x29217632b0d8582c2aa3e960a061c59b325cead5,F
0xd38cc34bcbcea8b169c18044af8100a411e2dea5,T
0xcac131c219a51abccd597c45a766b1928b17a301,F
0x9319c0c272ed1f03a30ae9aa6e3f68ed01dc234c,F
0x85a86e9a0ffe87370f17c012b73e5306547f3b78,T
0x938a452d293c23c2cdeae0bf01760d8ecc4f826b,T
0xbcfd654f1b58f8c6afa321e2c078b76816e88fe6,T
0xde01ccacb0cc4447d2a3c825f7553a85a219b8ea,T
0x559186c3015203239e8d6ddecbff906e30d28b66,T
0x2f1c0cc783a85e46c73b4d2a296d2bd4c1e32b94,T
0xa3a67d9f1fece613e473aad69e1669822532e5ee,T
0x5bc5dade90b24f679f5ecb275b81a1132b27b973,F
0x4be9ae1335565e08c1f6d9a883cab68128dc37fb,T
0x835e2a0daa11ae7cec5d777d4bd9b782bb0dd764,T
0x28a444150fdcea3cbba76abcc2378413d76f7073,T
0xdaf1695c41327b61b9b9965ac6a5843a3198cf07,F
0x5dbf7b64316a95907bdfc4bd1fcc62ab99d375b7,T
0x627bf4dc66dfd180479e01b9e9ba844732d7f2a4,T
0x117888d2d21db2e85f505fd6f4e93e94b9b1341e,T
0xe5f234475e8e3a2bd74562bc2668932bc8a92f72,T
0xc66dbd847e13c2b13eaf690c51047e082fdd2755,T
0x23bba0d28518cc44558059ea797ca7989a835973,T
0x31b3ff02cd56cfb3b0f63f8ad2e01be49b159028,T
0x6c19180a32b4e13b1aa55ca963bd6fb195ad2e90,T
0x3feaedd8a513eb155522cdbc79d0749cf4519186,T
0x1d8c2ca5b9a9a2017fa9cf2bc2acf2735b1a67ae,T
0xcf5a3096503763b45564a61585af5ea2cf7e6116,T
0x478ce2c9db0ddbf522b89ad394726a5c8471d50d,T
0xd3a49b7d951c46c392991eb69aadd7afd473a73b,T
0x3e099686dc59028362208d1289a333c25e9cb091,T
0x7e3cc4e02a782932ba5bdfbf117448bdd6343f15,F
0xd9cee738e9825e11425349cc0807441f35dceef5,T
0xbf76b63f1fa10f196a8090c5e6f1650f988cbd3a,T
0xe5d2a80323cca84006f1d81b3ef1aadd64fe915c,F
0x462d256afd214d108c42f7ada6ee0b92c21c0926,T
0xbe447625a3235f2fc9d527d12f92f2ed704bb689,T
0xb79aed477a39195592c181f595ab0e761ad1ef13,T
0xea0f832e432c47a65c7a8f84ae7f2cd38ec2a2a1,T
0x1928c9dd36cf75fc3e448cc3244092ce2f4c0369,T
0x89d01452ea101f55b2e830e1fb49ea7adf18d7e9,T
0x4da22ef44403f17528c053f02ac9b655cdae6acf,T
